   1 	     2.7886 
   2 	     5.8146 
   3 	     8.4428 
   4 	    11.2206 
   5 	    13.8700 
   6 	    16.6168 
   7 	    19.1243 
   8 	    21.5913 
   9 	    24.6342 
  10 	    27.5624 
  11 	    30.2939 
  12 	    33.0681 
  13 	    35.6702 
  14 	    38.4132 
  15 	    41.2239 
  16 	    43.8203 
  17 	    46.6997 
  18 	    49.3720 
  19 	    52.1483 
  20 	    54.8351 
  21 	    57.5679 
  22 	    60.3184 
  23 	    63.0617 
  24 	    65.7508 
  25 	    68.6389 
  26 	    71.1764 
  27 	    73.8526 
  28 	    76.6374 
  29 	    79.2678 
  30 	    82.0859 
  31 	    84.9207 
  32 	    87.4303 
  33 	    90.2060 
  34 	    92.9243 
  35 	    95.6027 
  36 	    98.4547 
  37 	   101.2503 
  38 	   103.8547 
  39 	   106.7242 
  40 	   109.4176 
  41 	   111.9929 
  42 	   114.8691 
  43 	   117.6728 
  44 	   120.3545 
  45 	   123.1311 
  46 	   125.8764 
  47 	   128.5539 
  48 	   131.3372 
  49 	   134.0102 
  50 	   136.9126 
