   1 	     2.8691 
   2 	     5.6177 
   3 	     8.3158 
   4 	    11.1455 
   5 	    13.9208 
   6 	    16.5963 
   7 	    19.2974 
   8 	    22.0039 
   9 	    24.7954 
  10 	    27.5430 
  11 	    30.3219 
  12 	    33.2957 
  13 	    35.8385 
  14 	    38.5334 
  15 	    41.2671 
  16 	    44.0465 
  17 	    46.7798 
  18 	    49.5206 
  19 	    52.1500 
  20 	    54.9288 
  21 	    57.6932 
  22 	    60.4335 
  23 	    63.2318 
  24 	    65.9312 
  25 	    68.6445 
  26 	    71.3618 
  27 	    74.0777 
  28 	    76.7669 
  29 	    79.5379 
  30 	    82.3323 
  31 	    85.0628 
  32 	    87.7809 
  33 	    90.5339 
  34 	    93.2877 
  35 	    95.9744 
  36 	    98.6940 
  37 	   101.4196 
  38 	   104.1733 
  39 	   106.8995 
  40 	   109.6366 
  41 	   112.5550 
  42 	   115.4246 
  43 	   118.1918 
  44 	   120.5321 
  45 	   123.3549 
  46 	   126.0968 
  47 	   129.0332 
  48 	   131.6253 
  49 	   134.4727 
  50 	   137.0276 
