   1 	     2.7299 
   2 	     5.5222 
   3 	     8.2045 
   4 	    10.9961 
   5 	    13.7118 
   6 	    16.4121 
   7 	    19.2218 
   8 	    21.9295 
   9 	    24.6918 
  10 	    27.4279 
  11 	    30.1621 
  12 	    32.8894 
  13 	    35.6531 
  14 	    38.3664 
  15 	    41.0574 
  16 	    43.8594 
  17 	    46.5863 
  18 	    49.3612 
  19 	    52.1090 
  20 	    54.8499 
  21 	    57.5840 
  22 	    60.3234 
  23 	    63.0896 
  24 	    65.8097 
  25 	    68.5195 
  26 	    71.2540 
  27 	    74.0075 
  28 	    76.7597 
  29 	    79.4939 
  30 	    82.2283 
  31 	    84.9595 
  32 	    87.7343 
  33 	    90.4163 
  34 	    93.0851 
  35 	    95.9351 
  36 	    98.6623 
  37 	   101.4211 
  38 	   104.0816 
  39 	   106.9185 
  40 	   109.6117 
  41 	   112.3498 
  42 	   115.1137 
  43 	   117.7682 
  44 	   120.5364 
  45 	   123.2688 
  46 	   126.0255 
  47 	   128.7820 
  48 	   131.4984 
  49 	   134.1855 
  50 	   136.9960 
